task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges,precision_at_k,recall_at_k,roc_auc,average_precision,subgraph_node_precision,subgraph_node_recall,subgraph_edge_precision,subgraph_edge_recall,n_candidate_nodes,n_candidate_edges
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,4,0.49936880946703516,26.3620990899999,0.49936880946703516,True,,,-12.51596965273831,,,1.03544732163893,48344,,False,,,,100.0,,,0.23,0.9583333333333334,0.9954486669319538,0.49936880946703516,0.01038511466897447,1.0,0.0015419285968449768,1.0,2311.0,16862.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,4,0.09345251787618801,0.10753171000033035,0.09345251787618801,True,,,-1.5293958526056532,,,1.03544732163893,48344,,True,,,,100.0,,,0.09,0.375,0.972202878365831,0.09345251787618801,0.00757336699274219,1.0,0.0009959014823610526,1.0,3169.0,26107.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,5,0.08879395331612289,0.001048932999765384,0.08879395331612289,True,,,0.0,1.0,,1.035459299928387,47715,,,,,,100.0,,,0.06,0.25,0.882429838496161,0.08879395331612289,0.005696653216235461,1.0,0.0009782148900169204,0.9736842105263158,4213.0,37824.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,5,0.2254377896556057,0.0010067700004583457,0.2254377896556057,True,,,-1.5388867286154668,1.041879475240465,,1.035459299928387,47715,,,,,,100.0,,,0.2,0.8333333333333334,0.9894840481863914,0.2254377896556057,0.009508716323296355,1.0,0.0020204168438962143,1.0,2524.0,18808.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,5,0.49410661237069425,32.112198756,0.49410661237069425,True,,,-4.564642567626011,,,1.035459299928387,47715,,False,,,,100.0,,,0.22,0.9166666666666666,0.994638602065131,0.49410661237069425,0.009795918367346938,1.0,0.0021264689423615,1.0,2450.0,17870.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,5,0.10862859863369466,0.09637765300067258,0.10862859863369466,True,,,-0.22337833351058003,,,1.035459299928387,47715,,True,,,,100.0,,,0.08,0.3333333333333333,0.9720429573735769,0.10862859863369466,0.006892230576441102,0.9166666666666666,0.0013441376396943047,0.9210526315789473,3192.0,26039.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,6,0.052511027766540756,0.001038751999658416,0.052511027766540756,True,,,0.0,1.0,,1.035393566802064,47157,,,,,,100.0,,,0.04,0.17391304347826086,0.9535669058674545,0.052511027766540756,0.0054879503698401335,1.0,0.00217952857604133,0.9878048780487805,4191.0,37164.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,6,0.5630686944107657,0.0009887220003292896,0.5630686944107657,True,,,-9.722865621943601,1.050600673710572,,1.035393566802064,47157,,,,,,100.0,,,0.22,0.9565217391304348,0.9954514520033425,0.5630686944107657,0.008731966590736523,1.0,0.004146230469737574,1.0,2634.0,19777.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,6,0.8929483766593362,39.04361720000088,0.8929483766593362,True,,,-16.004968568303468,,,1.035393566802064,47157,,False,,,,100.0,,,0.23,1.0,0.9989231657204882,0.8929483766593362,0.008107155445893549,1.0,0.0038008714193010105,1.0,2837.0,21574.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,6,0.1021131716010302,0.10097066099842777,0.1021131716010302,True,,,-0.9446043230198437,,,1.035393566802064,47157,,True,,,,100.0,,,0.08,0.34782608695652173,0.9764130219415753,0.1021131716010302,0.007133995037220843,1.0,0.003107973294451692,0.9878048780487805,3224.0,26062.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,7,0.08449893053421584,0.0010021950001828372,0.08449893053421584,True,,,0.0,1.0,,1.0354072724849508,46613,,,,,,100.0,,,0.1,0.4166666666666667,0.9151008702531647,0.08449893053421584,0.005792903692976104,1.0,0.0022337433125586012,1.0,4143.0,36262.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,7,0.598326300887464,0.000905127999430988,0.598326300887464,True,,,-6.080874244262605,1.107241186675112,,1.0354072724849508,46613,,,,,,100.0,,,0.13,0.5416666666666666,0.9883306962025318,0.598326300887464,0.009665726943213854,1.0,0.004491017964071856,1.0,2483.0,18036.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,7,0.7474066641516515,45.57285427500028,0.7474066641516515,True,,,-7.845161227798106,,,1.0354072724849508,46613,,False,,,,100.0,,,0.24,1.0,0.9971980485232068,0.7474066641516515,0.008559201141226819,1.0,0.003767091433355037,1.0,2804.0,21502.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,7,0.20640822980053455,0.10336392499993963,0.20640822980053455,True,,,-1.4427318605760866,,,1.0354072724849508,46613,,True,,,,100.0,,,0.15,0.625,0.9777162447257384,0.20640822980053455,0.007815043959622273,1.0,0.0033334705131898433,1.0,3071.0,24299.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,8,0.016679219887967493,0.0011666320006042952,0.016679219887967493,True,,,0.0,1.0,,1.0354274917335853,46032,,,,,,100.0,,,0.03,0.125,0.8304546650875115,0.016679219887967493,0.005850804485616773,1.0,0.0007328691828508611,1.0,4102.0,35477.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,8,0.16919942505763197,0.00105669399999897,0.16919942505763197,True,,,-9.144324866158376,1.1040395806216676,,1.0354274917335853,46032,,,,,,100.0,,,0.02,0.08333333333333333,0.9773243189893408,0.16919942505763197,0.009654062751407884,1.0,0.0014414014857523007,1.0,2486.0,18038.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,8,0.48009253356130843,51.75259136199929,0.48009253356130843,True,,,-27.783872194625275,,,1.0354274917335853,46032,,False,,,,100.0,,,0.22,0.9166666666666666,0.995394130806685,0.48009253356130843,0.009156810377718427,1.0,0.0013397918169638257,1.0,2621.0,19406.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,8,0.06026508187168329,0.09976325600109703,0.06026508187168329,True,,,-2.61318348678639,,,1.0354274917335853,46032,,True,,,,100.0,,,0.06,0.25,0.9482333201737071,0.06026508187168329,0.007897334649555774,1.0,0.0011001100110011,1.0,3039.0,23634.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,9,0.04758771943878427,0.001029046001349343,0.04758771943878427,True,,,0.0,1.0,,1.035398028637119,45484,,,,,,100.0,,,0.04,0.16666666666666666,0.8736948384554767,0.04758771943878427,0.0058823529411764705,1.0,0.0009747147525944614,0.8947368421052632,4080.0,34882.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,9,0.19722930835184999,0.0009913140002026921,0.19722930835184999,True,,,-3.144542135614655,1.038062612995414,,1.035398028637119,45484,,,,,,100.0,,,0.14,0.5833333333333334,0.9829015629104281,0.19722930835184999,0.00913937547600914,1.0,0.0019718748378392405,1.0,2626.0,19271.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,9,0.8055533279155513,59.93562585399923,0.8055533279155513,True,,,-15.92775651818735,,,1.035398028637119,45484,,False,,,,100.0,,,0.24,1.0,0.9986209613869188,0.8055533279155513,0.009716599190283401,1.0,0.002086858432036097,0.9736842105263158,2470.0,17730.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,9,0.09567473937751225,0.10027365300084057,0.09567473937751225,True,,,-1.0104922132397203,,,1.035398028637119,45484,,True,,,,100.0,,,0.11,0.4583333333333333,0.9687417914368269,0.09567473937751225,0.007931262392597489,1.0,0.001455541761205531,0.8947368421052632,3026.0,23359.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,10,0.0928615452708593,0.00107745400055137,0.0928615452708593,True,,,0.0,1.0,,1.0353666674336732,44996,,,,,,100.0,,,0.1,0.4166666666666667,0.966714182723817,0.0928615452708593,0.00571712652249565,0.9583333333333334,0.002031742292629781,0.9078947368421053,4023.0,33961.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,10,0.47787889679531803,0.0009141480004473124,0.47787889679531803,True,,,-4.146144137505326,1.1786428456050315,,1.0353666674336732,44996,,,,,,100.0,,,0.23,0.9583333333333334,0.9930692095949665,0.47787889679531803,0.009244992295839754,1.0,0.004030333563133054,1.0,2596.0,18857.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,10,0.8007400638367552,65.92146856999898,0.8007400638367552,True,,,-7.622945714516705,,,1.0353666674336732,44996,,False,,,,100.0,,,0.24,1.0,0.9986564425219557,0.8007400638367552,0.009819967266775777,1.0,0.004330754128652269,0.9868421052631579,2444.0,17318.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,10,0.26730045784443274,0.09580747200016049,0.26730045784443274,True,,,-1.878483844574938,,,1.0353666674336732,44996,,True,,,,100.0,,,0.15,0.625,0.9819684755538078,0.26730045784443274,0.007270323859881031,0.9166666666666666,0.002763504469104884,0.8421052631578947,3026.0,23159.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,11,0.05861700763817727,0.0010743269995145965,0.05861700763817727,True,,,0.0,1.0,,1.035366335712791,44528,,,,,,100.0,,,0.1,0.4166666666666667,0.8972887231815803,0.05861700763817727,0.006039255158530448,1.0,0.0023854097469653964,1.0,3974.0,33118.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,11,0.5186458871891502,0.0009070559990504989,0.5186458871891502,True,,,-7.848044417254695,1.184410886030406,,1.035366335712791,44528,,,,,,100.0,,,0.14,0.5833333333333334,0.9876210099424385,0.5186458871891502,0.009241432422025414,1.0,0.004180557760491083,1.0,2597.0,18897.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,11,0.8107119335102484,72.99759212900062,0.8107119335102484,True,,,-12.830660522872403,,,1.035366335712791,44528,,False,,,,100.0,,,0.23,0.9583333333333334,0.9980540293040293,0.8107119335102484,0.009170806266717615,1.0,0.00412381896956726,1.0,2617.0,19157.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,11,0.11271644285192552,0.0921382150008867,0.11271644285192552,True,,,-0.9229306884391908,,,1.035366335712791,44528,,True,,,,100.0,,,0.12,0.5,0.9617346938775512,0.11271644285192552,0.008270158511371467,1.0,0.0036112634850978243,1.0,2902.0,21876.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,12,0.021716106051759537,0.0011010460002580658,0.021716106051759537,True,,,0.0,1.0,,1.035397605663617,44022,,,,,,100.0,,,0.04,0.16666666666666666,0.8610784697741218,0.021716106051759537,0.006071338224133569,1.0,0.0007974726252185382,1.0,3953.0,32603.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,12,0.11066482198243145,0.0009936579990608152,0.11066482198243145,True,,,-4.095979072798131,1.1080734028194323,,1.035397605663617,44022,,,,,,100.0,,,0.03,0.125,0.9681828567698133,0.11066482198243145,0.0093603744149766,1.0,0.0014138887378323999,1.0,2564.0,18389.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,12,0.32430923302977616,80.65868613100065,0.32430923302977616,True,,,-13.934041685779073,,,1.035397605663617,44022,,False,,,,100.0,,,0.21,0.875,0.9909583496540019,0.32430923302977616,0.008833271991166729,1.0,0.0013239637437620938,1.0,2717.0,19638.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,12,0.033584517812890034,0.09245164800086059,0.033584517812890034,True,,,-0.5465257782791526,,,1.035397605663617,44022,,True,,,,100.0,,,0.03,0.125,0.9324405927666798,0.033584517812890034,0.007694998251136761,0.9166666666666666,0.0010898407884761183,0.8846153846153846,2859.0,21104.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,13,0.03683576640012941,0.0010933200010185828,0.03683576640012941,True,,,0.0,1.0,,1.0353797137286604,43546,,,,,,100.0,,,0.04,0.16666666666666666,0.9013389366692729,0.03683576640012941,0.006145966709346991,1.0,0.0011326453561540397,0.9473684210526315,3905.0,31784.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,13,0.0971292085121321,0.0009095290006371215,0.0971292085121321,True,,,-1.6368179083628587,1.2020727214335294,,1.0353797137286604,43546,,,,,,100.0,,,0.1,0.4166666666666667,0.9726755929111285,0.0971292085121321,0.010173802458668928,1.0,0.002285361334156887,0.9736842105263158,2359.0,16190.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,13,0.5510414891098757,88.75302270300017,0.5510414891098757,True,,,-13.959414258527273,,,1.0353797137286604,43546,,False,,,,100.0,,,0.19,0.7916666666666666,0.9917741725306228,0.5510414891098757,0.009459992116673236,1.0,0.001986491855383393,0.9210526315789473,2537.0,17619.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,13,0.050257971121288256,0.091840516000957,0.050257971121288256,True,,,-0.3643796785808614,,,1.0353797137286604,43546,,True,,,,100.0,,,0.06,0.25,0.9504658587438102,0.050257971121288256,0.008281573498964804,1.0,0.001597218959928595,0.8947368421052632,2898.0,21287.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,14,0.07669615020193171,0.000999346000753576,0.07669615020193171,True,,,0.0,1.0,,1.0353217833661275,43146,,,,,,100.0,,,0.09,0.375,0.9506681623097932,0.07669615020193171,0.00625,1.0,0.002977731745209736,0.968421052631579,3840.0,30896.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,14,0.48668325251743505,0.0009029379998537479,0.48668325251743505,True,,,-5.345602109572081,1.106771451545337,,1.0353217833661275,43146,,,,,,100.0,,,0.15,0.625,0.9890346599037586,0.48668325251743505,0.009990917347865577,0.9166666666666666,0.005787431061482944,0.8947368421052632,2202.0,14687.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,14,0.8736405956060243,97.64554343499913,0.8736405956060243,True,,,-10.390931530537504,,,1.0353217833661275,43146,,False,,,,100.0,,,0.23,0.9583333333333334,0.9970899986994408,0.8736405956060243,0.009324009324009324,1.0,0.00521497919556172,0.9894736842105263,2574.0,18025.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,14,0.14089610921143053,0.09635970799899951,0.14089610921143053,True,,,-0.837068859916281,,,1.0353217833661275,43146,,True,,,,100.0,,,0.12,0.5,0.9764436207569254,0.14089610921143053,0.007919366450683946,0.9166666666666666,0.00430172068827531,0.9052631578947369,2778.0,19992.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,15,0.06041877965273991,0.0010653219997038832,0.06041877965273991,True,,,0.0,1.0,,1.03532575775931,42731,,,,,,100.0,,,0.09,0.375,0.9282434449636553,0.06041877965273991,0.006340819022457068,1.0,0.0021873135812288725,1.0,3785.0,30174.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,15,0.310766700658289,0.0009606470011931378,0.310766700658289,True,,,-4.143544812464549,1.1089630201111724,,1.03532575775931,42731,,,,,,100.0,,,0.14,0.5833333333333334,0.9776820482866044,0.310766700658289,0.011516314779270634,1.0,0.004910348932371103,1.0,2084.0,13441.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,15,0.5995939961897674,103.40686163999999,0.5995939961897674,True,,,-8.923967343199667,,,1.03532575775931,42731,,False,,,,100.0,,,0.19,0.7916666666666666,0.9912707684319834,0.5995939961897674,0.009156810377718427,1.0,0.0035396331652901426,1.0,2621.0,18646.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,15,0.09504450969120387,0.0946249490007176,0.09504450969120387,True,,,-0.5730954884801903,,,1.03532575775931,42731,,True,,,,100.0,,,0.08,0.3333333333333333,0.9617731048805814,0.09504450969120387,0.008921933085501859,1.0,0.0034709439915855903,1.0,2690.0,19015.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,16,0.06563035242229309,0.0011240299991186475,0.06563035242229309,True,,,0.0,1.0,,1.0353497025630982,42293,,,,,,100.0,,,0.05,0.20833333333333334,0.8403047674569245,0.06563035242229309,0.006330783434450013,1.0,0.0008666666666666666,1.0,3791.0,30000.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,16,0.11893145512702229,0.0009559110003465321,0.11893145512702229,True,,,-0.8121410405016211,1.1758730663327128,,1.0353497025630982,42293,,,,,,100.0,,,0.02,0.08333333333333333,0.9601308459645032,0.11893145512702229,0.0116335433834222,1.0,0.00196969696969697,1.0,2063.0,13200.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,16,0.22700925688724893,110.62074326799848,0.22700925688724893,True,,,-2.458906565464963,,,1.0353497025630982,42293,,False,,,,100.0,,,0.16,0.6666666666666666,0.9846887550200804,0.22700925688724893,0.00978393803505911,1.0,0.0015678707109690647,1.0,2453.0,16583.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,16,0.05165737810558793,0.09330183800011582,0.05165737810558793,True,,,0.21290414878160657,,,1.0353497025630982,42293,,True,,,,100.0,,,0.03,0.125,0.9418804249255085,0.05165737810558793,0.008717762440973484,1.0,0.0013402061855670104,1.0,2753.0,19400.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,17,0.06357789745886165,0.0010539129998505814,0.06357789745886165,True,,,0.0,1.0,,1.0353249449978987,41882,,,,,,100.0,,,0.04,0.16666666666666666,0.9029124644427204,0.06357789745886165,0.006073409030895168,0.9583333333333334,0.0010074890015783994,0.7894736842105263,3787.0,29777.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,17,0.1067546914193649,0.0009209549989463994,0.1067546914193649,True,,,-0.6791164175952968,1.1443697043354886,,1.0353249449978987,41882,,,,,,100.0,,,0.02,0.08333333333333333,0.9674570080165503,0.1067546914193649,0.010154738878143133,0.875,0.0018003150551346486,0.631578947368421,2068.0,13331.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,17,0.5303769450240572,118.93303451199972,0.5303769450240572,True,,,-7.3421592443701025,,,1.0353249449978987,41882,,False,,,,100.0,,,0.19,0.7916666666666666,0.9895267649340574,0.5303769450240572,0.009025949605114705,1.0,0.002058058925476603,1.0,2659.0,18464.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,17,0.0855217835966823,0.0929063359999418,0.0855217835966823,True,,,-0.34514960410604234,,,1.0353249449978987,41882,,True,,,,100.0,,,0.03,0.125,0.9631658908714765,0.0855217835966823,0.00870195794053662,1.0,0.0014982434387270098,0.7631578947368421,2758.0,19356.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,18,0.12256517476705014,0.0011058529998990707,0.12256517476705014,True,,,0.0,1.0,,1.035237240829346,41542,,,,,,100.0,,,0.14,0.5833333333333334,0.9695525229061814,0.12256517476705014,0.006391478029294274,1.0,0.0031123879882344893,0.9891304347826086,3755.0,29238.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,18,0.39492005617283715,0.0007966480006871279,0.39492005617283715,True,,,-2.22212289847773,1.388132523956937,,1.035237240829346,41542,,,,,,100.0,,,0.13,0.5416666666666666,0.9891276293715318,0.39492005617283715,0.010355029585798817,0.875,0.006257822277847309,0.8695652173913043,2028.0,12784.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,18,0.8953610350225572,127.13027670100018,0.8953610350225572,True,,,-6.3051830320015325,,,1.035237240829346,41542,,False,,,,100.0,,,0.23,0.9583333333333334,0.9987095109046329,0.8953610350225572,0.009153318077803204,1.0,0.005101474991682378,1.0,2622.0,18034.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,18,0.20999585984841113,0.09002707699983148,0.20999585984841113,True,,,-0.713340353387767,,,1.035237240829346,41542,,True,,,,100.0,,,0.12,0.5,0.9770373596593109,0.20999585984841113,0.009005481597494126,0.9583333333333334,0.004978868754703873,0.9347826086956522,2554.0,17273.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,19,0.10769346892199504,0.0012942899993504398,0.10769346892199504,True,,,0.0,1.0,,1.03527252614642,41179,,,,,,100.0,,,0.07,0.30434782608695654,0.9107927203097311,0.10769346892199504,0.006189451022604951,1.0,0.0023071276261054986,1.0,3716.0,28607.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,19,0.24589409562885978,0.0009017270003823796,0.24589409562885978,True,,,-1.283277696319419,1.4353457296960086,,1.03527252614642,41179,,,,,,100.0,,,0.12,0.5217391304347826,0.9719998992197931,0.24589409562885978,0.010613751730503,1.0,0.004701859371660611,1.0,2167.0,14037.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,19,0.5931574029217404,132.66636076099894,0.5931574029217404,True,,,-4.507830779890455,,,1.03527252614642,41179,,False,,,,100.0,,,0.16,0.6956521739130435,0.9849249607377112,0.5931574029217404,0.008070175438596491,1.0,0.0032811334824757645,1.0,2850.0,20115.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,19,0.16728252057239779,0.101143731000775,0.16728252057239779,True,,,-0.5533209418072003,,,1.03527252614642,41179,,True,,,,100.0,,,0.09,0.391304347826087,0.9642986117526517,0.16728252057239779,0.009292929292929294,1.0,0.004011182691138933,1.0,2475.0,16454.0
